,0
Annual return,-0.237463296275496
Cumulative returns,-0.13518063999999996
Annual volatility,0.2611709274991008
Sharpe ratio,-0.9069245311274872
Calmar ratio,-0.7822841656932094
Stability,0.39081316536697763
Max drawdown,-0.3035511987706813
Omega ratio,0.8508404025956918
Sortino ratio,-1.1917876362010515
Skew,-0.49792076531878426
Kurtosis,3.405672622667721
Tail ratio,1.109080212353841
Daily value at risk,-0.03384437383761375
