Date,Open,High,Low,Close,Volume,amount,outstanding_share,turnover,ticker
2019-10-29,83.06,84.02,78.77,83.59,29298189,225054496,1529757955,0.019152173,sh600491
2019-10-30,83.59,84.77,82.84,83.81,20629076,160985752,1529757955,0.01348519,sh600491
2019-10-31,84.02,84.99,83.59,84.35,14623661,114959242,1529757955,0.009559461,sh600491
2019-11-01,84.24,85.85,83.92,85.74,19643829,155371993,1529757955,0.012841135,sh600491
2019-11-04,86.7,86.7,85.2,85.85,18294462,146436282,1529757955,0.011959057,sh600491
2019-11-05,85.63,85.85,77.27,77.27,46275277,351077371,1529757955,0.030250065,sh600491
2019-11-06,78.02,80.38,77.91,79.84,34164381,252561363,1529757955,0.022333194,sh600491
2019-11-07,79.74,80.27,74.7,78.13,25675181,187284167,1529757955,0.016783819,sh600491
2019-11-08,78.24,78.45,75.56,76.31,16353206,116801170,1529757955,0.010690061,sh600491
2019-11-11,76.41,76.52,70.52,72.66,26922496,182323241,1529757955,0.017599187,sh600491
2019-11-12,72.45,73.73,71.38,73.31,15368005,104199559,1529757955,0.010046037,sh600491
2019-11-13,73.31,77.59,72.88,76.95,24168936,170118823,1529757955,0.01579919,sh600491
2019-11-14,77.7,80.7,77.59,80.59,29235863,216663556,1529757955,0.019111431,sh600491
2019-11-15,81.45,82.09,79.52,80.38,26890029,201995446,1529757955,0.017577963,sh600491
2019-11-18,80.49,81.45,79.52,79.74,19392614,145170756,1529757955,0.012676917,sh600491
2019-11-19,80.59,81.99,79.95,81.45,19955851,150822071,1529757955,0.013045104,sh600491
2019-11-20,82.52,82.52,79.31,79.52,23155077,174446293,1529757955,0.015136432,sh600491
2019-11-21,80.17,81.13,78.99,80.59,16931012,127291537,1529757955,0.011067772,sh600491
2019-11-22,80.92,81.45,78.56,80.81,13160300,98278876,1529757955,0.008602864,sh600491
2019-11-25,80.49,81.02,78.77,79.31,9793485,72589725,1529757955,0.006401983,sh600491
2019-11-26,79.42,80.59,79.09,79.31,8013693,59732226,1529757955,0.005238537,sh600491
2019-11-27,79.63,80.49,79.52,80.38,7086698,52916309,1529757955,0.004632562,sh600491
2019-11-28,80.38,81.56,79.31,81.34,21548973,162224335,1529757955,0.014086525,sh600491
2019-11-29,81.45,81.45,79.09,79.63,20182404,151574267,1529757955,0.013193201,sh600491
2019-12-02,79.63,80.7,78.77,80.17,13332016,99656119,1529757955,0.008715115,sh600491
2019-12-03,80.59,80.92,79.63,80.17,8431122,63007477,1529757955,0.005511409,sh600491
2019-12-04,81.24,81.24,79.2,79.31,4900009,36442517,1529757955,0.003203127,sh600491
2019-12-05,79.31,80.27,77.7,79.84,9367130,69088441,1529757955,0.006123276,sh600491
2019-12-06,79.63,79.74,78.13,79.09,10936102,80228578,1529757955,0.00714891,sh600491
2019-12-09,79.31,79.52,78.56,78.88,6283866,46340996,1529757955,0.004107752,sh600491
2019-12-10,79.2,80.27,77.38,79.2,11275754,83174612,1529757955,0.00737094,sh600491
2019-12-11,79.2,79.52,77.59,78.45,10328909,75611078,1529757955,0.006751989,sh600491
2019-12-12,77.91,78.56,77.16,78.02,8104400,58850732,1529757955,0.005297832,sh600491
2019-12-13,78.13,78.88,77.91,78.02,9988300,72880947,1529757955,0.006529334,sh600491
2019-12-16,78.24,78.45,77.27,77.91,6996581,50775053,1529757955,0.004573652,sh600491
2019-12-17,77.91,78.66,77.38,78.02,10760701,78309482,1529757955,0.007034251,sh600491
2019-12-18,78.56,80.7,78.13,79.63,13926353,103499363,1529757955,0.009103632,sh600491
2019-12-19,79.84,79.95,78.99,79.74,5585779,41384650,1529757955,0.003651414,sh600491
2019-12-20,79.84,80.06,79.09,79.31,5931900,43983672,1529757955,0.003877672,sh600491
2019-12-23,79.31,79.52,76.95,78.13,11086786,80820390,1529757955,0.007247412,sh600491
2019-12-24,77.38,78.45,77.38,78.13,5386474,39228954,1529757955,0.003521128,sh600491
2019-12-25,77.91,78.34,77.38,77.38,3816657,27739822,1529757955,0.002494942,sh600491
2019-12-26,77.7,78.45,77.49,77.81,5099229,37073339,1529757955,0.003333357,sh600491
2019-12-27,77.91,78.56,77.49,78.02,8750800,63713206,1529757955,0.005720382,sh600491
2019-12-30,77.81,78.24,77.27,78.13,6104700,44281160,1529757955,0.003990631,sh600491
2019-12-31,78.02,79.31,77.81,78.34,10162155,74497519,1529757955,0.006642982,sh600491
2020-01-02,79.2,79.31,78.56,78.77,10310141,75838382,1529757955,0.00673972,sh600491
2020-01-03,78.77,79.52,78.34,79.09,8151852,60041869,1529757955,0.005328851,sh600491
2020-01-06,78.77,79.2,78.24,78.45,7387577,54247582,1529757955,0.004829246,sh600491
2020-01-07,78.77,78.88,78.24,78.56,5639153,41306932,1529757955,0.003686304,sh600491
2020-01-08,78.56,78.56,77.06,77.38,8759022,63463265,1529757955,0.005725757,sh600491
2020-01-09,77.7,78.02,76.95,77.91,13229300,95839584,1529757955,0.008647969,sh600491
2020-01-10,78.02,79.95,77.81,79.74,25399810,186986417,1529757955,0.01660381,sh600491
2020-01-13,79.95,80.7,79.52,80.27,17384290,130078836,1529757955,0.011364079,sh600491
2020-01-14,80.59,81.24,79.52,80.81,20244798,152169460,1529757955,0.013233988,sh600491
2020-01-15,80.06,81.77,79.63,81.45,18263294,138166307,1529757955,0.011938682,sh600491
2020-01-16,81.45,84.13,81.45,81.99,14667121,113251385,1529757955,0.00958787,sh600491
2020-01-17,81.45,83.38,81.45,82.95,11061676,85567257,1529757955,0.007230998,sh600491
