Date,Open,High,Low,Close,Volume,amount,outstanding_share,turnover,ticker
2019/11/5,35.73,35.99,35.47,35.79,1500975,26755895,120011737,0.012506902,sh603776
2019/11/6,35.79,35.85,34.95,35.09,2111552,37195257,120011737,0.017594546,sh603776
2019/11/7,35.09,35.41,34.74,35.13,2047012,35826874,120011737,0.017056765,sh603776
2019/11/8,35.13,36.05,35.07,35.39,3310384,58812459,120011737,0.027583835,sh603776
2019/11/11,34.74,34.82,33.74,33.74,2738635,46772014,120011737,0.022819726,sh603776
2019/11/12,33.84,34.26,33.76,33.98,1485640,25169871,120011737,0.012379123,sh603776
2019/11/13,34.06,34.06,33.44,33.48,1253955,21105178,120011737,0.010448603,sh603776
2019/11/14,33.86,34.28,33.08,33.98,1989876,33468299,120011737,0.016580678,sh603776
2019/11/15,34.06,34.1,33.4,33.48,1180240,19829950,120011737,0.009834371,sh603776
2019/11/18,33.4,34.02,33.4,33.64,1446060,24363231,120011737,0.012049321,sh603776
2019/11/19,33.62,34.18,33.62,34.08,1215564,20617536,120011737,0.010128709,sh603776
2019/11/20,34.08,34.42,33.94,34.08,1365776,23248210,120011737,0.011380354,sh603776
2019/11/21,33.9,34.0,33.7,33.82,986660,16640277,120011737,0.008221363,sh603776
2019/11/22,33.82,34.16,32.84,33.06,1893236,31522824,120011737,0.015775424,sh603776
2019/11/25,32.88,33.32,32.88,33.02,1053788,17398073,120011737,0.008780708,sh603776
2019/11/26,33.34,33.4,32.9,32.9,1069952,17682005,120011737,0.008915395,sh603776
2019/11/27,32.9,33.18,32.64,32.82,1085628,17804466,120011737,0.009046015,sh603776
2019/11/28,32.84,33.06,32.44,32.6,1161820,18935971,120011737,0.009680886,sh603776
2019/11/29,32.5,32.66,31.9,32.26,1562688,25094602,120011737,0.013021126,sh603776
2019/12/2,32.2,32.36,31.92,32.36,1027476,16473491,120011737,0.008561463,sh603776
2019/12/3,32.24,32.48,31.5,32.42,1755052,27957264,120011737,0.014624003,sh603776
2019/12/4,32.28,33.26,32.12,33.26,2259648,37030366,120011737,0.018828558,sh603776
2019/12/5,33.08,33.44,32.92,33.28,1760637,29165872,120011737,0.01467054,sh603776
2019/12/6,33.4,33.98,33.34,33.58,1838433,30849710,120011737,0.015318777,sh603776
2019/12/9,33.7,33.98,33.3,33.58,1269278,21255100,120011737,0.010576282,sh603776
2019/12/10,34.08,34.82,33.68,34.52,3328376,57123431,120011737,0.027733754,sh603776
2019/12/11,34.5,34.87,33.98,34.36,2494412,42847136,120011737,0.020784734,sh603776
2019/12/12,34.36,34.66,34.02,34.1,1959532,33501826,120011737,0.016327836,sh603776
2019/12/13,34.32,34.62,34.22,34.38,1579072,27105018,120011737,0.013157646,sh603776
2019/12/16,34.42,34.78,34.2,34.66,1691939,29148226,120011737,0.014098113,sh603776
2019/12/17,34.76,35.01,34.58,34.89,2038235,35418222,120011737,0.016983631,sh603776
2019/12/18,34.89,35.39,34.6,34.62,2727484,47511939,120011737,0.02272681,sh603776
2019/12/19,34.76,35.67,34.54,35.63,3895064,68011208,120011737,0.032455692,sh603776
2019/12/20,35.51,35.61,34.93,34.95,2714374,47630987,120011737,0.022617571,sh603776
2019/12/23,34.72,35.01,33.84,33.86,2231851,38240533,120011737,0.018596939,sh603776
2019/12/24,33.94,35.09,33.88,34.66,1463196,25079115,120011737,0.012192108,sh603776
2019/12/25,34.72,34.97,34.3,34.48,1581860,27331422,120011737,0.013180877,sh603776
2019/12/26,34.28,34.76,34.0,34.56,2271712,38964921,120011737,0.018929082,sh603776
2019/12/27,34.58,35.07,34.22,34.3,2170613,37532412,120011737,0.018086673,sh603776
2019/12/30,34.16,34.44,33.24,34.18,2573204,43539000,120011737,0.02144127,sh603776
2019/12/31,34.48,34.66,34.08,34.28,1759240,30161439,120011737,0.0146589,sh603776
2020/1/2,34.58,35.41,34.34,34.99,2936176,51193732,120011737,0.02446574,sh603776
2020/1/3,34.97,35.63,34.89,35.23,2698436,47463024,120011737,0.022484767,sh603776
2020/1/6,34.93,36.39,34.89,36.17,4201782,74935156,120011737,0.035011426,sh603776
2020/1/7,36.45,36.49,35.85,36.11,3302576,59480176,120011737,0.027518775,sh603776
2020/1/8,35.99,36.11,34.99,35.25,3109816,55241055,120011737,0.025912599,sh603776
2020/1/9,35.75,36.25,35.73,35.91,2870524,51517176,120011737,0.023918694,sh603776
2020/1/10,35.99,36.65,35.73,35.95,2295808,41336775,120011737,0.019129862,sh603776
2020/1/13,39.54,39.54,39.54,39.54,752856,14846320,120011737,0.006273186,sh603776
2020/1/14,43.49,43.49,43.49,43.49,2242822,48646809,120011737,0.018688355,sh603776
2020/1/15,45.65,47.8,44.55,45.61,26857331,615584024,120011737,0.223789203,sh603776
2020/1/16,44.41,44.73,42.66,43.29,15781059,344028050,120011737,0.131495964,sh603776
2020/1/17,43.11,44.47,42.52,43.11,10365376,224636451,120011737,0.086369686,sh603776
2020/1/20,43.81,44.25,42.74,43.33,8688409,188594571,120011737,0.072396327,sh603776
2020/1/21,42.64,42.78,41.1,41.7,7491966,157009047,120011737,0.062426944,sh603776
2020/1/22,41.8,42.6,40.8,42.18,5567046,116369212,120011737,0.046387513,sh603776
2020/1/23,41.46,41.84,39.22,39.94,7316931,147996573,120011737,0.060968462,sh603776
2020/2/3,35.95,35.95,35.95,35.95,692800,12421904,120011737,0.005772769,sh603776
2020/2/4,32.84,35.49,32.84,34.78,8252920,141081952,120011737,0.068767607,sh603776
2020/2/5,34.99,36.39,34.7,35.59,5701067,101236240,120011737,0.047504245,sh603776
2020/2/6,35.47,36.65,35.09,36.21,6475232,116368725,120011737,0.053954989,sh603776
2020/2/7,36.39,38.57,35.53,37.77,9315512,170971008,120011737,0.077621675,sh603776
2020/2/10,37.61,39.02,37.29,38.31,6287650,119770927,120011737,0.052391959,sh603776
2020/2/11,38.19,39.9,37.65,38.61,5723383,110462950,120011737,0.047690194,sh603776
2020/2/12,38.07,38.95,37.99,38.69,4746977,91138822,120011737,0.039554273,sh603776
2020/2/13,38.61,38.79,37.63,37.79,4562900,86646997,120011737,0.038020448,sh603776
2020/2/14,37.67,38.73,37.55,38.09,4085859,77862571,120011737,0.034045495,sh603776
2020/2/17,38.09,39.86,38.09,39.82,6744590,131966335,120011737,0.05619942,sh603776
2020/2/18,40.14,42.04,39.64,41.5,8357054,170142605,120011737,0.069635306,sh603776
2020/2/19,41.4,42.04,40.76,41.48,5325099,109674409,120011737,0.044371485,sh603776
2020/2/20,41.8,42.4,40.86,41.9,5753839,119685372,120011737,0.047943969,sh603776
2020/2/21,41.5,43.55,41.5,42.74,6470116,137327800,120011737,0.05391236,sh603776
2020/2/24,43.31,43.71,42.56,43.13,6496460,139685369,120011737,0.054131872,sh603776
2020/2/25,42.1,42.1,40.5,42.0,7575194,157338733,120011737,0.063120443,sh603776
2020/2/26,40.8,42.66,40.46,41.12,5014382,104373153,120011737,0.04178243,sh603776
