Date,Open,High,Low,Close,Volume,amount,outstanding_share,turnover,ticker
2019-11-05,3.69,3.71,3.66,3.68,8809110,29331351,4391629404,0.002005886,sh601718
2019-11-06,3.67,3.72,3.64,3.66,10032200,33411787,4391629404,0.002284391,sh601718
2019-11-07,3.65,3.69,3.62,3.64,9527232,31488193,4391629404,0.002169407,sh601718
2019-11-08,3.68,3.69,3.57,3.58,17003016,55763468,4391629404,0.003871687,sh601718
2019-11-11,3.58,3.58,3.51,3.51,12939500,41471333,4391629404,0.002946401,sh601718
2019-11-12,3.51,3.55,3.47,3.53,10365554,32902935,4391629404,0.002360298,sh601718
2019-11-13,3.51,3.51,3.47,3.47,8388067,26468730,4391629404,0.001910012,sh601718
2019-11-14,3.48,3.5,3.47,3.49,8026241,25316802,4391629404,0.001827623,sh601718
2019-11-15,3.48,3.49,3.39,3.39,11619300,36239883,4391629404,0.002645783,sh601718
2019-11-18,3.4,3.43,3.39,3.4,6636607,20473264,4391629404,0.001511195,sh601718
2019-11-19,3.41,3.47,3.4,3.47,9262823,28888087,4391629404,0.0021092,sh601718
2019-11-20,3.48,3.49,3.43,3.43,7421168,23203385,4391629404,0.001689844,sh601718
2019-11-21,3.43,3.46,3.4,3.43,7878748,24451879,4391629404,0.001794038,sh601718
2019-11-22,3.43,3.6,3.43,3.5,29278044,92798027,4391629404,0.006666784,sh601718
2019-11-25,3.49,3.55,3.46,3.54,16706496,52891477,4391629404,0.003804168,sh601718
2019-11-26,3.54,3.55,3.46,3.46,12416400,39285225,4391629404,0.002827288,sh601718
2019-11-27,3.47,3.5,3.45,3.47,9108909,28635238,4391629404,0.002074152,sh601718
2019-11-28,3.46,3.53,3.46,3.51,10920079,34489369,4391629404,0.002486567,sh601718
2019-11-29,3.5,3.51,3.47,3.5,9185422,28977237,4391629404,0.002091575,sh601718
2019-12-02,3.45,3.48,3.4,3.46,10698543,33421754,4391629404,0.002436122,sh601718
2019-12-03,3.45,3.47,3.41,3.47,7214410,22475384,4391629404,0.001642764,sh601718
2019-12-04,3.45,3.49,3.44,3.48,8441200,26526634,4391629404,0.001922111,sh601718
2019-12-05,3.49,3.51,3.47,3.49,10603705,33583660,4391629404,0.002414526,sh601718
2019-12-06,3.5,3.54,3.48,3.53,8640500,27428110,4391629404,0.001967493,sh601718
2019-12-09,3.54,3.58,3.5,3.5,11822201,37829729,4391629404,0.002691985,sh601718
2019-12-10,3.51,3.53,3.49,3.51,8476870,26911289,4391629404,0.001930233,sh601718
2019-12-11,3.53,3.53,3.48,3.49,9075327,28702722,4391629404,0.002066506,sh601718
2019-12-12,3.49,3.5,3.44,3.45,9878000,30958856,4391629404,0.002249279,sh601718
2019-12-13,3.49,3.5,3.46,3.48,11851000,37306182,4391629404,0.002698543,sh601718
2019-12-16,3.49,3.55,3.48,3.54,21445756,68098732,4391629404,0.004883326,sh601718
2019-12-17,3.54,3.61,3.54,3.58,25699017,83234422,4391629404,0.005851818,sh601718
2019-12-18,3.59,3.68,3.58,3.6,23487643,77123650,4391629404,0.005348275,sh601718
2019-12-19,3.61,3.66,3.6,3.64,14641905,48086675,4391629404,0.003334048,sh601718
