Date,Open,High,Low,Close,Volume,amount,outstanding_share,turnover,ticker
2019/10/30,49.12,49.12,47.91,47.97,8642151,79378433,1391777884,0.006209433,sh600037
2019/10/31,48.18,48.28,46.97,47.13,6426641,58029726,1391777884,0.004617577,sh600037
2019/11/1,46.86,47.6,46.7,47.49,5252628,47222926,1391777884,0.003774042,sh600037
2019/11/4,47.6,47.81,47.02,47.13,5800853,52262815,1391777884,0.004167945,sh600037
2019/11/5,47.07,47.65,46.76,47.39,4666335,41864428,1391777884,0.003352787,sh600037
2019/11/6,47.39,47.65,46.39,46.6,5575659,49714886,1391777884,0.004006141,sh600037
2019/11/7,46.55,47.07,46.44,46.76,2823808,25108676,1391777884,0.002028921,sh600037
2019/11/8,46.97,47.49,46.81,46.97,4106285,36780100,1391777884,0.002950388,sh600037
2019/11/11,46.81,46.81,45.71,45.86,4686558,41113532,1391777884,0.003367317,sh600037
2019/11/12,46.02,46.13,45.44,45.92,3003701,26128292,1391777884,0.002158176,sh600037
2019/11/13,45.71,45.86,45.07,45.23,3817879,32925795,1391777884,0.002743167,sh600037
2019/11/14,44.6,45.34,44.6,45.13,3728022,31882863,1391777884,0.002678604,sh600037
2019/11/15,45.07,45.18,44.23,44.34,2890047,24525522,1391777884,0.002076515,sh600037
2019/11/18,44.44,45.34,44.18,45.23,6062115,51907560,1391777884,0.004355663,sh600037
2019/11/19,45.13,46.44,45.02,46.39,6844287,59931636,1391777884,0.004917658,sh600037
2019/11/20,46.55,46.81,45.81,45.92,7070711,62255336,1391777884,0.005080344,sh600037
2019/11/21,45.97,46.65,45.81,46.34,4637136,40727198,1391777884,0.003331808,sh600037
2019/11/22,46.39,46.97,45.28,45.65,6360009,55731079,1391777884,0.004569701,sh600037
2019/11/25,45.6,45.86,44.92,45.55,5470061,47070749,1391777884,0.003930269,sh600037
2019/11/26,45.39,45.76,45.18,45.18,4522600,39038936,1391777884,0.003249513,sh600037
2019/11/27,45.23,45.6,44.97,45.13,4767478,41050573,1391777884,0.003425459,sh600037
2019/11/28,45.13,45.28,44.71,44.86,4378323,37426305,1391777884,0.003145849,sh600037
2019/11/29,44.86,45.07,44.55,45.07,3978518,33897004,1391777884,0.002858587,sh600037
2019/12/2,45.07,45.34,45.02,45.23,3345687,28738147,1391777884,0.002403894,sh600037
2019/12/3,44.92,45.18,44.6,45.18,3393115,28930763,1391777884,0.002437972,sh600037
2019/12/4,44.92,45.07,44.71,44.86,3785120,32276208,1391777884,0.002719629,sh600037
2019/12/5,44.92,45.44,44.86,45.39,5838300,50065754,1391777884,0.00419485,sh600037
2019/12/6,45.34,45.76,45.07,45.71,6157392,53133528,1391777884,0.00442412,sh600037
2019/12/9,45.71,45.92,45.55,45.86,5970456,51935619,1391777884,0.004289805,sh600037
2019/12/10,45.76,46.55,45.49,46.49,7538700,65987089,1391777884,0.005416597,sh600037
2019/12/11,46.55,46.55,46.13,46.28,6036064,53153567,1391777884,0.004336945,sh600037
2019/12/12,46.28,46.49,45.81,45.81,5220099,45668049,1391777884,0.00375067,sh600037
2019/12/13,46.07,46.49,46.02,46.34,7021586,61717761,1391777884,0.005045048,sh600037
2019/12/16,46.34,47.07,46.18,47.02,8333571,73921879,1391777884,0.005987716,sh600037
2019/12/17,47.02,48.39,46.86,48.12,12932294,117787196,1391777884,0.009291924,sh600037
2019/12/18,48.02,49.02,47.97,48.33,10041906,92525758,1391777884,0.007215164,sh600037
2019/12/19,48.55,49.54,48.28,48.28,13137394,121684209,1391777884,0.009439289,sh600037
2019/12/20,48.28,48.6,47.18,47.34,13118081,119085739,1391777884,0.009425413,sh600037
2019/12/23,47.34,47.34,46.18,46.23,10165400,90229329,1391777884,0.007303895,sh600037
2019/12/24,46.23,46.86,46.23,46.7,5881701,52049375,1391777884,0.004226034,sh600037
2019/12/25,46.76,49.33,46.7,47.34,15682256,141815473,1391777884,0.011267786,sh600037
2019/12/26,47.02,47.6,47.02,47.6,9900161,89070003,1391777884,0.00711332,sh600037
2019/12/27,47.49,47.86,47.07,47.13,12766246,115167430,1391777884,0.009172617,sh600037
2019/12/30,46.97,47.28,46.13,47.23,14022653,124838447,1391777884,0.010075353,sh600037
2019/12/31,47.07,47.49,46.97,47.39,6417177,57677755,1391777884,0.004610777,sh600037
2020/1/2,47.86,48.97,47.65,48.55,25009211,229817166,1391777884,0.017969254,sh600037
2020/1/3,48.7,49.28,48.18,49.23,20642913,191639080,1391777884,0.014832046,sh600037
2020/1/6,48.86,50.07,48.55,49.81,22340907,210564059,1391777884,0.016052064,sh600037
2020/1/7,49.76,52.28,49.7,51.91,35506844,344429007,1391777884,0.025511861,sh600037
2020/1/8,51.49,52.28,50.33,50.39,25460100,247729887,1391777884,0.018293221,sh600037
2020/1/9,51.12,51.28,49.7,50.39,20819722,199463267,1391777884,0.014959084,sh600037
2020/1/10,50.44,50.6,49.54,49.97,14449304,137144434,1391777884,0.010381904,sh600037
2020/1/13,49.81,50.33,49.54,50.33,12811003,121717578,1391777884,0.009204776,sh600037
2020/1/14,50.44,51.7,50.28,51.23,25680850,249832074,1391777884,0.018451831,sh600037
2020/1/15,51.23,51.86,50.6,50.86,17142916,166516288,1391777884,0.012317279,sh600037
2020/1/16,50.81,51.07,49.86,49.97,11704732,112034220,1391777884,0.008409914,sh600037
2020/1/17,50.12,51.81,49.86,51.39,20966709,203503208,1391777884,0.015064695,sh600037
2020/1/20,51.39,53.38,51.12,51.65,21253826,209716623,1391777884,0.01527099,sh600037
2020/1/21,51.07,51.12,50.02,50.39,12224085,117313049,1391777884,0.008783072,sh600037
2020/1/22,50.07,50.7,49.18,50.44,12417739,117782398,1391777884,0.008922213,sh600037
2020/1/23,49.97,49.97,47.55,48.02,17229622,159246535,1391777884,0.012379577,sh600037
2020/2/3,43.23,43.92,43.23,43.23,12747700,104863634,1391777884,0.009159292,sh600037
2020/2/4,42.55,44.13,42.34,43.71,18588596,153753821,1391777884,0.013356008,sh600037
2020/2/5,43.71,45.34,43.34,44.6,15719263,132837462,1391777884,0.011294376,sh600037
2020/2/6,44.92,47.81,44.39,47.49,23770677,209125982,1391777884,0.017079361,sh600037
2020/2/7,48.6,49.86,47.23,47.97,36299942,332898818,1391777884,0.026081706,sh600037
2020/2/10,48.33,49.23,47.02,47.55,22524493,205475896,1391777884,0.016183971,sh600037
2020/2/11,47.7,49.6,47.02,47.86,22560708,206757642,1391777884,0.016209992,sh600037
2020/2/12,47.76,48.55,47.18,48.33,20737514,188197293,1391777884,0.014900017,sh600037
2020/2/13,48.02,48.12,46.91,47.02,13871677,125024645,1391777884,0.009966876,sh600037
2020/2/14,47.02,47.28,46.55,46.97,13523689,120640385,1391777884,0.009716844,sh600037
2020/2/17,47.02,48.81,46.86,48.6,19641351,179339271,1391777884,0.014112418,sh600037
2020/2/18,49.91,53.44,48.91,53.44,71124050,704457765,1391777884,0.051103018,sh600037
2020/2/19,53.7,54.44,52.28,52.38,50575939,509919590,1391777884,0.036339088,sh600037
2020/2/20,52.54,53.12,51.49,52.75,36267615,361810503,1391777884,0.026058479,sh600037
2020/2/21,52.17,54.12,51.96,52.54,35534358,357964504,1391777884,0.02553163,sh600037
2020/2/24,52.49,55.01,51.81,54.23,38100531,388715936,1391777884,0.027375439,sh600037
2020/2/25,53.02,53.8,51.81,53.7,32884898,331488096,1391777884,0.023627979,sh600037
2020/2/26,56.38,57.49,53.96,54.59,62314670,659912013,1391777884,0.04477343,sh600037
2020/2/27,54.96,55.44,52.49,52.91,32339717,328743587,1391777884,0.023236263,sh600037
2020/2/28,50.86,51.86,49.86,49.91,24871428,240109371,1391777884,0.017870257,sh600037
2020/3/2,50.33,52.91,50.33,52.86,25520123,251511900,1391777884,0.018336348,sh600037
2020/3/3,55.75,57.22,54.12,54.91,55897606,593296020,1391777884,0.040162735,sh600037
2020/3/4,53.8,54.8,52.91,53.75,26069305,266633912,1391777884,0.018730938,sh600037
2020/3/5,54.65,54.91,53.23,54.07,28621206,293720322,1391777884,0.020564493,sh600037
2020/3/6,53.12,53.38,52.38,52.49,24787299,248814294,1391777884,0.01780981,sh600037
2020/3/9,51.54,51.75,49.97,50.33,20991370,202904081,1391777884,0.015082414,sh600037
2020/3/10,49.7,51.65,49.39,51.54,20838624,200711688,1391777884,0.014972665,sh600037
2020/3/11,51.44,52.07,50.81,50.81,16321485,159794372,1391777884,0.011727076,sh600037
2020/3/12,50.23,50.7,49.23,49.44,16898009,160282016,1391777884,0.012141312,sh600037
2020/3/13,46.81,49.39,46.39,48.81,18537654,168273791,1391777884,0.013319405,sh600037
2020/3/16,48.91,49.07,46.91,46.97,17807673,162165552,1391777884,0.01279491,sh600037
2020/3/17,47.39,48.02,45.92,46.97,12179020,108584524,1391777884,0.008750692,sh600037
2020/3/18,47.49,47.86,45.76,45.81,14745707,131479155,1391777884,0.010594871,sh600037
2020/3/19,45.65,47.07,45.39,46.81,13341900,117019206,1391777884,0.009586228,sh600037
2020/3/20,47.13,47.49,46.55,47.39,9256142,82864142,1391777884,0.006650589,sh600037
2020/3/23,46.34,46.91,45.34,45.92,8570506,75173694,1391777884,0.006157955,sh600037
2020/3/24,46.55,47.13,46.02,47.07,8231989,73021024,1391777884,0.005914729,sh600037
2020/3/25,48.02,48.23,47.18,47.55,11287300,102150854,1391777884,0.008109987,sh600037
2020/3/26,47.07,47.44,46.6,46.65,8222341,73533593,1391777884,0.005907797,sh600037
2020/3/27,46.91,47.23,46.44,46.49,7534593,67152081,1391777884,0.005413646,sh600037
2020/3/30,45.97,45.97,44.92,45.6,8014241,69201370,1391777884,0.005758276,sh600037
2020/3/31,46.07,46.07,45.34,45.6,5295374,46000812,1391777884,0.003804755,sh600037
2020/4/1,45.34,46.02,45.18,45.44,5573891,48365324,1391777884,0.004004871,sh600037
2020/4/2,45.18,46.23,44.97,46.23,6164400,53623400,1391777884,0.004429155,sh600037
2020/4/3,46.02,46.07,45.39,45.65,6274700,54501479,1391777884,0.004508406,sh600037
2020/4/7,46.28,46.86,46.13,46.65,7855534,69522163,1391777884,0.005644244,sh600037
2020/4/8,46.65,47.34,46.44,46.97,7602503,67696211,1391777884,0.00546244,sh600037
2020/4/9,47.34,47.76,46.97,47.39,9970457,89757809,1391777884,0.007163828,sh600037
2020/4/10,47.44,47.44,46.07,46.28,8371609,74148522,1391777884,0.006015047,sh600037
2020/4/13,46.34,46.34,45.55,45.65,5344900,46559767,1391777884,0.00384034,sh600037
2020/4/14,45.76,46.44,45.76,46.28,5887557,51621589,1391777884,0.004230242,sh600037
2020/4/15,46.39,46.55,45.86,45.92,5076748,44577461,1391777884,0.003647671,sh600037
2020/4/16,45.76,46.44,45.6,46.28,5754566,50434521,1391777884,0.004134687,sh600037
2020/4/17,46.44,46.81,46.07,46.07,6400163,56537457,1391777884,0.004598552,sh600037
2020/4/20,46.23,46.44,46.02,46.13,5646189,49523996,1391777884,0.004056818,sh600037
2020/4/21,46.07,46.07,45.44,45.92,4987458,43360753,1391777884,0.003583516,sh600037
2020/4/22,45.39,46.02,45.28,45.92,6068100,52828965,1391777884,0.004359963,sh600037
2020/4/23,46.07,46.07,45.44,45.55,6639173,57669993,1391777884,0.004770282,sh600037
2020/4/24,45.6,46.13,44.97,45.13,7146210,61885716,1391777884,0.005134591,sh600037
2020/4/27,45.23,46.13,45.23,45.39,6986317,60704295,1391777884,0.005019707,sh600037
2020/4/28,45.23,45.65,43.55,44.23,9248571,78260154,1391777884,0.006645149,sh600037
2020/4/29,43.65,44.07,42.65,43.18,17986559,148121506,1391777884,0.012923441,sh600037
2020/4/30,43.55,44.44,43.34,44.39,11091307,92703663,1391777884,0.007969165,sh600037
2020/5/6,44.07,44.97,43.92,44.92,7802301,65948458,1391777884,0.005605996,sh600037
2020/5/7,44.92,44.97,44.5,44.71,5288494,44912432,1391777884,0.003799812,sh600037
2020/5/8,44.76,46.81,44.76,46.81,17301247,151311655,1391777884,0.01243104,sh600037
2020/5/11,47.76,49.91,47.49,48.6,29212797,270455682,1391777884,0.020989554,sh600037
2020/5/12,48.39,50.18,48.39,49.54,20741621,194991674,1391777884,0.014902968,sh600037
2020/5/13,49.44,49.91,48.91,49.44,11320792,106376223,1391777884,0.008134051,sh600037
2020/5/14,49.81,50.07,48.91,49.49,12548451,118099818,1391777884,0.00901613,sh600037
2020/5/15,49.6,50.6,49.28,50.12,12484870,118671419,1391777884,0.008970447,sh600037
2020/5/18,51.28,51.28,49.23,50.28,13161144,125551400,1391777884,0.009456354,sh600037
2020/5/19,50.81,53.75,50.75,51.65,26317112,261090059,1391777884,0.018908988,sh600037
2020/5/20,51.96,53.54,51.44,53.28,28827159,286329658,1391777884,0.020712471,sh600037
2020/5/21,53.28,55.49,51.49,51.81,30991790,313701233,1391777884,0.02226777,sh600037
2020/5/22,51.02,52.28,49.18,49.91,24847896,238562179,1391777884,0.017853349,sh600037
2020/5/25,49.97,51.7,49.81,50.6,16565326,159534165,1391777884,0.011902277,sh600037
2020/5/26,50.65,55.01,50.65,54.17,43298543,438656305,1391777884,0.031110239,sh600037
2020/6/2,59.59,59.59,59.59,59.59,968905,10977694,1391777884,0.000696164,sh600037
2020/6/3,65.53,65.53,65.53,65.53,1668801,20793260,1391777884,0.001199043,sh600037
2020/6/4,70.58,71.27,65.27,67.58,139446348,1825005988,1391777884,0.100192962,sh600037
2020/6/5,68.9,74.37,68.9,74.37,121482718,1688374275,1391777884,0.087285995,sh600037
2020/6/8,74.16,74.16,67.22,67.9,108430153,1436463272,1391777884,0.077907656,sh600037
2020/6/9,69.16,70.32,66.06,68.69,60344488,781732124,1391777884,0.043357844,sh600037
2020/6/10,67.48,68.9,66.38,67.11,45544594,583191023,1391777884,0.032724039,sh600037
2020/6/11,67.06,67.8,64.8,65.27,49644356,623406366,1391777884,0.035669741,sh600037
2020/6/12,63.9,66.53,62.8,66.01,41304509,508571873,1391777884,0.029677515,sh600037
2020/6/15,64.85,72.63,64.48,72.63,85810900,1140166571,1391777884,0.0616556,sh600037
2020/6/16,73.95,79.89,73.95,78.1,103498373,1541240087,1391777884,0.074364145,sh600037
2020/6/17,76.0,81.26,75.11,81.26,87007763,1308715500,1391777884,0.062515552,sh600037
2020/6/18,83.99,85.57,79.68,82.42,69227581,1088477731,1391777884,0.049740394,sh600037
2020/6/19,80.99,85.16,80.17,81.43,58646154,881796227,1391777884,0.042137581,sh600037
2020/6/22,80.28,83.24,79.67,81.7,48809293,725880580,1391777884,0.035069743,sh600037
2020/6/23,82.36,83.4,79.51,82.91,43478960,648089096,1391777884,0.03123987,sh600037
2020/6/24,82.36,84.83,80.28,80.88,45487688,680918443,1391777884,0.032683152,sh600037
2020/6/29,79.89,83.24,79.34,82.75,38204517,569528952,1391777884,0.027450154,sh600037
2020/6/30,83.68,84.28,80.77,83.46,41329538,623240590,1391777884,0.029695498,sh600037
2020/7/1,82.36,83.19,80.33,82.25,39863274,592720076,1391777884,0.02864198,sh600037
2020/7/2,81.43,89.06,81.37,87.08,48624583,766912360,1391777884,0.034937028,sh600037
2020/7/3,85.82,87.91,80.17,80.99,64415311,979001003,1391777884,0.046282752,sh600037
2020/7/6,79.51,83.4,79.51,82.31,55386905,828586129,1391777884,0.039795793,sh600037
2020/7/7,82.09,86.32,81.37,83.84,50002005,762872079,1391777884,0.035926713,sh600037
2020/7/8,84.45,86.75,82.91,86.26,39180098,608345332,1391777884,0.028151114,sh600037
2020/7/9,86.7,87.69,83.68,86.59,47218832,737041945,1391777884,0.033926988,sh600037
2020/7/10,85.77,93.18,83.62,84.34,59928578,963296470,1391777884,0.04305901,sh600037
2020/7/13,83.79,85.93,82.2,85.0,41997394,641450479,1391777884,0.030175357,sh600037
2020/7/14,86.32,90.6,83.9,89.77,60505567,958122565,1391777884,0.04347358,sh600037
2020/7/15,89.01,89.01,80.82,80.82,64668931,984416014,1391777884,0.04646498,sh600037
2020/7/16,79.67,80.77,72.75,72.75,47444677,662483365,1391777884,0.034089259,sh600037
2020/7/17,72.64,74.02,69.84,71.71,25582709,334930629,1391777884,0.018381316,sh600037
2020/7/20,72.53,73.8,71.16,73.08,18795584,248465638,1391777884,0.01350473,sh600037
2020/7/21,73.03,74.73,72.81,74.13,18761481,252711879,1391777884,0.013480226,sh600037
2020/7/22,73.85,75.28,72.15,73.74,18863156,253608220,1391777884,0.01355328,sh600037
2020/7/23,72.97,73.69,70.89,72.53,18096040,238246027,1391777884,0.013002103,sh600037
2020/7/24,71.93,73.25,67.81,68.25,24669681,315089764,1391777884,0.0177253,sh600037
2020/7/27,68.2,71.38,67.76,70.34,16617356,210791088,1391777884,0.011939661,sh600037
2020/7/28,70.28,70.89,68.91,69.62,10606202,134467596,1391777884,0.007620614,sh600037
2020/7/29,69.79,72.42,69.4,71.82,14116431,182587621,1391777884,0.010142733,sh600037
2020/7/30,71.98,72.7,71.11,71.87,13023776,170177770,1391777884,0.009357654,sh600037
2020/7/31,71.11,73.14,70.89,72.37,15090747,198636731,1391777884,0.010842784,sh600037
2020/8/3,73.58,74.4,72.53,73.85,18082293,242064127,1391777884,0.012992226,sh600037
2020/8/4,74.46,77.42,72.86,76.54,30388476,417013014,1391777884,0.021834286,sh600037
2020/8/5,75.61,78.9,74.46,77.91,26139802,366742249,1391777884,0.01878159,sh600037
2020/8/6,78.08,78.08,75.33,76.1,16289373,226157867,1391777884,0.011704003,sh600037
2020/8/7,75.66,82.25,72.48,79.34,27780114,388261328,1391777884,0.019960163,sh600037
2020/8/10,82.36,87.3,80.71,87.3,48433050,760293783,1391777884,0.034799411,sh600037
2020/8/11,89.34,92.68,79.67,80.82,68008050,1061541621,1391777884,0.048864155,sh600037
2020/8/12,77.42,80.55,75.22,78.68,33506088,474023068,1391777884,0.024074307,sh600037
2020/8/13,78.41,78.41,75.22,75.44,21582777,301196319,1391777884,0.015507343,sh600037
2020/8/14,75.99,76.76,74.67,76.49,11751685,162518990,1391777884,0.00844365,sh600037
2020/8/17,76.21,81.76,75.77,80.11,28327202,406913609,1391777884,0.020353249,sh600037
2020/8/18,79.95,80.88,77.69,78.02,18443840,264372726,1391777884,0.013252,sh600037
2020/8/19,78.02,79.51,76.6,77.69,15846682,224291462,1391777884,0.011385927,sh600037
2020/8/20,76.87,80.99,75.77,78.19,18746203,268052484,1391777884,0.013469249,sh600037
2020/8/21,79.07,79.56,77.09,77.26,13410779,190718450,1391777884,0.009635718,sh600037
2020/8/24,76.87,78.02,75.88,77.47,9711060,136279266,1391777884,0.00697745,sh600037
2020/8/25,77.53,79.45,76.87,77.47,13406724,190329705,1391777884,0.009632804,sh600037
2020/8/26,77.37,80.99,77.37,79.34,29653793,429280076,1391777884,0.021306412,sh600037
2020/8/27,83.4,86.75,80.17,80.71,47139726,713019379,1391777884,0.03387015,sh600037
2020/8/28,79.12,80.77,76.32,77.26,30999122,438170884,1391777884,0.022273038,sh600037
2020/8/31,76.43,77.64,76.27,76.54,14307593,200016629,1391777884,0.010280084,sh600037
2020/9/1,76.38,76.54,73.58,74.29,18625793,252215535,1391777884,0.013382734,sh600037
2020/9/2,74.29,74.29,72.31,73.03,14197866,189035057,1391777884,0.010201244,sh600037
2020/9/3,72.7,74.35,72.48,74.29,13172000,175916913,1391777884,0.009464154,sh600037
2020/9/4,73.03,74.89,72.64,73.36,11740008,157221016,1391777884,0.00843526,sh600037
2020/9/7,73.03,73.41,71.0,71.16,12385198,162557063,1391777884,0.008898832,sh600037
2020/9/8,70.83,71.76,69.84,71.44,10195835,131276992,1391777884,0.007325763,sh600037
2020/9/9,70.83,71.33,68.25,68.69,13034975,164691422,1391777884,0.009365701,sh600037
2020/9/10,69.29,70.01,67.26,67.48,9892700,123782399,1391777884,0.007107959,sh600037
2020/9/11,66.71,69.02,66.71,68.42,7889612,97974191,1391777884,0.005668729,sh600037
2020/9/14,68.63,69.4,67.54,68.09,7506240,93624277,1391777884,0.005393274,sh600037
2020/9/15,68.69,71.76,67.98,71.65,14386758,183735342,1391777884,0.010336964,sh600037
2020/9/16,71.65,71.65,69.84,70.06,7039143,90438511,1391777884,0.005057663,sh600037
2020/9/17,69.95,72.04,69.79,71.05,9174110,118822268,1391777884,0.006591648,sh600037
2020/9/18,70.83,71.71,70.39,71.38,6117975,79347422,1391777884,0.004395798,sh600037
2020/9/21,71.44,72.2,70.12,70.5,7759406,100162059,1391777884,0.005575176,sh600037
2020/9/22,70.06,70.5,68.63,68.74,6800302,86010137,1391777884,0.004886054,sh600037
