Date,Open,High,Low,Close,Volume,amount,outstanding_share,turnover,ticker
2019/11/5,74.01,74.99,68.1,70.96,17875537,1279160507,25765513,0.693777648,sh688199
2019/11/6,66.95,68.23,66.01,66.35,8803968,588840957,25765513,0.341695816,sh688199
2019/11/7,65.8,70.84,64.36,67.52,8309126,558244593,25765513,0.322490222,sh688199
2019/11/8,67.0,69.5,66.06,67.01,4712351,318799508,25765513,0.182893739,sh688199
2019/11/11,67.0,67.0,62.56,62.85,4952516,317632334,25765513,0.192214919,sh688199
2019/11/12,62.64,63.17,61.51,62.38,2486798,154942293,25765513,0.096516534,sh688199
2019/11/13,62.5,63.48,62.02,62.74,2163181,135778656,25765513,0.08395645,sh688199
2019/11/14,62.75,63.37,62.0,62.44,2457245,154038188,25765513,0.095369535,sh688199
2019/11/15,62.11,62.15,60.5,60.52,2697720,164874387,25765513,0.104702747,sh688199
2019/11/18,60.4,60.93,59.95,60.05,1659647,99899067,25765513,0.064413505,sh688199
2019/11/19,60.36,61.37,60.07,61.28,1686975,102816961,25765513,0.065474148,sh688199
2019/11/20,60.73,61.83,60.21,60.46,1905210,116127142,25765513,0.07394419,sh688199
2019/11/21,60.0,60.88,59.62,60.5,1570524,94581336,25765513,0.060954501,sh688199
2019/11/22,60.65,60.98,59.53,59.62,1546917,93025541,25765513,0.060038277,sh688199
2019/11/25,59.65,59.87,58.0,58.45,1710593,100359193,25765513,0.066390799,sh688199
2019/11/26,58.8,58.9,58.21,58.4,800912,46854690,25765513,0.031084652,sh688199
2019/11/27,58.43,58.69,57.78,58.49,994694,57968579,25765513,0.038605635,sh688199
2019/11/28,58.21,59.8,58.21,58.8,1310659,77649732,25765513,0.050868733,sh688199
2019/11/29,58.74,58.98,58.16,58.92,904151,52898391,25765513,0.035091519,sh688199
2019/12/2,59.0,59.68,58.6,58.72,918251,54362366,25765513,0.035638763,sh688199
2019/12/3,58.55,58.55,56.78,57.2,1608010,92091143,25765513,0.062409392,sh688199
2019/12/4,57.0,57.5,56.7,56.96,787950,44903522,25765513,0.030581576,sh688199
2019/12/5,56.99,57.41,56.93,57.28,885286,50590460,25765513,0.034359339,sh688199
2019/12/6,57.2,57.82,57.06,57.28,910533,52256662,25765513,0.035339215,sh688199
2019/12/9,57.49,58.52,57.4,58.4,1492256,86615235,25765513,0.057916798,sh688199
2019/12/10,58.4,61.88,57.8,60.26,3504582,211622859,25765513,0.136018328,sh688199
2019/12/11,60.0,60.82,59.35,59.4,1396800,83558659,25765513,0.054212,sh688199
2019/12/12,59.4,60.49,58.92,59.05,1205981,71969945,25765513,0.046806015,sh688199
2019/12/13,59.35,59.6,58.52,59.43,1083286,63946773,25765513,0.04204403,sh688199
2019/12/16,59.85,60.3,59.61,60.15,1091729,65552374,25765513,0.042371716,sh688199
2019/12/17,60.18,61.29,60.1,61.05,1712161,103713396,25765513,0.066451656,sh688199
2019/12/18,60.85,62.5,60.85,61.97,2223234,137695309,25765513,0.086287201,sh688199
2019/12/19,62.24,62.56,61.66,61.92,1487539,92261336,25765513,0.057733723,sh688199
2019/12/20,61.93,62.18,61.23,61.23,1178842,72633861,25765513,0.045752708,sh688199
2019/12/23,61.44,61.44,59.05,59.19,1384257,83067236,25765513,0.053725187,sh688199
2019/12/24,59.21,60.22,59.21,60.19,956107,57235385,25765513,0.037108013,sh688199
2019/12/25,60.18,61.5,59.9,60.66,1498657,91468614,25765513,0.05816523,sh688199
2019/12/26,60.85,61.84,60.8,61.47,1432471,87971301,25765513,0.055596448,sh688199
2019/12/27,61.49,61.97,60.63,60.72,1330033,81421365,25765513,0.051620668,sh688199
2019/12/30,60.65,61.88,59.7,61.88,1343722,81829528,25765513,0.05215196,sh688199
2019/12/31,61.97,62.18,61.5,61.9,908831,56182506,25879513,0.035117778,sh688199
2020/1/2,61.93,62.92,61.93,62.87,1586660,99225621,25879513,0.0613095,sh688199
2020/1/3,62.99,63.0,62.1,62.88,1492143,93375759,25879513,0.057657306,sh688199
2020/1/6,62.5,63.97,62.35,62.97,1750326,110828632,25879513,0.067633653,sh688199
2020/1/7,62.93,63.28,61.89,63.23,1792929,112524867,25879513,0.069279859,sh688199
2020/1/8,62.81,64.29,62.5,62.85,2210123,139928425,25879513,0.085400486,sh688199
2020/1/9,63.45,64.27,63.21,63.83,1603636,102222349,25879513,0.061965463,sh688199
2020/1/10,63.56,65.14,63.56,64.82,2167732,139846041,25879513,0.083762473,sh688199
2020/1/13,65.16,65.6,64.57,65.5,1507240,98107212,25879513,0.058240663,sh688199
2020/1/14,65.5,66.22,64.66,65.4,1799442,117901230,25879513,0.069531525,sh688199
2020/1/15,65.4,65.64,63.9,64.03,1679017,108297686,25879513,0.06487823,sh688199
2020/1/16,64.11,65.97,64.07,65.6,2099418,136831652,25879513,0.081122778,sh688199
2020/1/17,66.18,69.46,65.7,67.8,3754397,254879818,25879513,0.145072166,sh688199
2020/1/20,68.1,71.6,67.11,70.18,3603972,250693966,25879513,0.139259653,sh688199
2020/1/21,69.92,70.7,67.26,67.48,2529348,173715670,25879513,0.097735533,sh688199
2020/1/22,67.38,69.67,65.9,68.99,2025288,137920208,25879513,0.078258351,sh688199
2020/1/23,68.0,69.58,64.55,66.3,2388221,160356385,25879513,0.092282301,sh688199
2020/2/3,55.18,57.88,53.6,53.84,3306042,183227561,25879513,0.127747458,sh688199
2020/2/4,54.5,60.58,54.5,59.83,2818092,163138323,25879513,0.108892776,sh688199
2020/2/5,60.0,63.94,59.91,61.01,2816171,173764520,25879513,0.108818547,sh688199
2020/2/6,60.82,63.89,60.0,63.6,2592525,162962015,25879513,0.100176731,sh688199
2020/2/7,62.99,65.55,62.97,65.51,2667512,172095912,25879513,0.103074273,sh688199
2020/2/10,65.51,67.38,65.1,66.8,2335900,155338395,25879513,0.090260586,sh688199
2020/2/11,67.0,67.0,63.79,63.99,2268305,147339002,25879513,0.087648674,sh688199
2020/2/12,63.63,66.08,63.5,65.87,1800728,117518309,25879513,0.069581217,sh688199
2020/2/13,65.79,68.69,65.53,66.5,2726522,183485206,25879513,0.105354455,sh688199
2020/2/14,66.25,67.02,65.11,66.13,2121075,140206118,25879513,0.081959618,sh688199
2020/2/17,66.16,68.23,66.16,67.88,2403011,161831916,25879513,0.092853795,sh688199
2020/2/18,68.21,70.18,68.2,69.66,3181762,220419640,25879513,0.122945204,sh688199
2020/2/19,69.98,71.72,68.16,68.45,3205983,224388015,25879513,0.123881118,sh688199
2020/2/20,68.93,69.19,66.14,67.96,2427189,164372330,25879513,0.093788048,sh688199
2020/2/21,67.23,67.97,66.58,66.82,2429760,162811361,25879513,0.093887393,sh688199
2020/2/24,66.1,67.26,65.65,66.96,1940089,128740682,25879513,0.07496621,sh688199
2020/2/25,64.51,66.39,64.2,65.6,2349365,153390924,25879513,0.090780881,sh688199
2020/2/26,64.5,65.95,63.01,63.01,2162764,139484209,25879513,0.083570506,sh688199
2020/2/27,63.58,63.95,62.55,62.99,1520749,96218739,25879513,0.058762659,sh688199
2020/2/28,61.68,62.09,59.91,60.1,2003793,122182401,25879513,0.077427771,sh688199
2020/3/2,60.0,64.7,60.0,64.26,2060992,128949761,25879513,0.079637975,sh688199
2020/3/3,68.0,68.41,65.77,66.45,3856440,258753534,25879513,0.149015169,sh688199
2020/3/4,67.0,67.96,65.6,66.7,2447001,163369753,25879513,0.094553595,sh688199
2020/3/5,67.31,67.73,65.86,67.5,2117457,141612297,25879513,0.081819816,sh688199
2020/3/6,66.86,67.19,65.88,65.9,1438500,95571088,25879513,0.055584508,sh688199
2020/3/9,64.99,64.99,61.7,61.91,1822774,114763444,25879513,0.070433087,sh688199
2020/3/10,60.87,63.89,60.68,63.33,1513735,94212072,25879513,0.058491634,sh688199
2020/3/11,63.83,64.38,61.61,61.81,1286015,81078961,25879513,0.049692396,sh688199
2020/3/12,60.98,61.55,60.13,60.51,1149589,69627263,25879513,0.044420813,sh688199
2020/3/13,57.5,60.38,57.08,59.54,1281741,75265905,25879513,0.049527246,sh688199
2020/3/16,60.05,60.6,57.2,57.46,1143343,67295994,25879513,0.044179464,sh688199
2020/3/17,58.0,58.69,56.02,58.07,1072872,61755969,25879513,0.041456422,sh688199
2020/3/18,58.44,59.99,57.32,57.33,1182932,69667354,25879513,0.045709206,sh688199
2020/3/19,57.0,59.48,56.56,58.96,1093911,63569425,25879513,0.042269381,sh688199
2020/3/20,59.28,59.65,58.33,59.22,765191,45191660,25879513,0.029567442,sh688199
2020/3/23,58.39,58.39,56.53,56.66,1009912,57782262,25879513,0.039023609,sh688199
2020/3/24,58.2,58.38,56.04,57.78,800039,45860043,25879513,0.03091399,sh688199
2020/3/25,59.28,59.34,58.5,58.85,853060,50298267,25879513,0.032962753,sh688199
2020/3/26,58.28,58.8,57.8,57.82,605609,35287185,25879513,0.023401097,sh688199
2020/3/27,58.3,58.68,57.43,57.69,518200,30159901,25879513,0.020023561,sh688199
2020/3/30,56.68,56.68,54.98,55.74,685506,38243692,25879513,0.026488366,sh688199
2020/3/31,55.99,56.49,55.61,55.87,345837,19366947,25879513,0.01336335,sh688199
2020/4/1,56.0,56.53,55.3,55.64,418715,23501251,25879513,0.0161794,sh688199
2020/4/2,54.98,56.78,54.98,56.71,538095,30203202,25879513,0.020792316,sh688199
2020/4/3,56.71,56.92,56.03,56.48,529677,29904335,25879513,0.020467039,sh688199
2020/4/7,57.68,58.0,57.32,57.95,699321,40335548,25879513,0.027022185,sh688199
2020/4/8,57.6,58.28,57.33,57.61,655107,37841071,25879513,0.02531373,sh688199
2020/4/9,57.84,57.97,57.59,57.59,435930,25168774,25879513,0.016844598,sh688199
2020/4/10,57.71,57.79,55.7,55.93,580444,32853862,25879513,0.022428706,sh688199
2020/4/13,55.65,56.0,55.38,55.66,400256,22259843,25879513,0.015466133,sh688199
2020/4/14,55.72,56.45,55.72,56.39,426080,23910859,25879513,0.016463988,sh688199
2020/4/15,56.39,56.78,56.05,56.08,391634,22125112,25879513,0.015132974,sh688199
2020/4/16,56.3,57.44,55.7,57.44,521753,29585508,25879513,0.020160851,sh688199
2020/4/17,57.47,58.3,57.44,57.65,726610,42059168,25879513,0.028076649,sh688199
2020/4/20,57.09,57.09,55.82,56.09,1299467,72903011,25879513,0.050212189,sh688199
2020/4/21,55.97,55.97,54.9,55.39,793060,43835120,25879513,0.030644317,sh688199
2020/4/22,54.98,55.63,54.77,55.58,562851,31163968,25879513,0.021748902,sh688199
2020/4/23,55.65,56.92,55.31,56.56,1051103,59105129,25879513,0.040615254,sh688199
2020/4/24,56.55,57.82,56.0,56.69,1177326,67117890,25879513,0.045492587,sh688199
2020/4/27,56.3,57.5,55.9,56.32,587118,33101551,25879513,0.022686594,sh688199
2020/4/28,54.3,54.3,47.5,49.36,2570674,129860015,25879513,0.099332395,sh688199
2020/4/29,49.37,49.89,48.2,48.75,1024555,49979549,25879513,0.039589423,sh688199
2020/4/30,48.98,50.92,48.85,50.5,1203771,60008013,25879513,0.046514438,sh688199
2020/5/6,48.82,52.67,48.65,52.29,1935195,98170746,27020980,0.071618239,sh688199
2020/5/7,51.96,52.6,50.98,51.03,1236217,63982112,27020980,0.045750265,sh688199
2020/5/8,51.54,52.3,50.81,51.48,805668,41584511,27020980,0.029816387,sh688199
2020/5/11,51.48,51.92,50.54,50.99,740971,38020135,27020980,0.027422062,sh688199
2020/5/12,50.86,51.36,49.8,50.59,617656,31161109,27020980,0.022858386,sh688199
2020/5/13,50.5,51.55,50.0,51.48,753972,38523287,27020980,0.027903207,sh688199
2020/5/14,51.48,51.89,51.08,51.36,745629,38406873,27020980,0.027594447,sh688199
2020/5/15,51.72,51.72,51.02,51.36,627067,32202175,27020980,0.023206671,sh688199
2020/5/18,51.36,51.71,49.85,50.2,797090,40228031,27020980,0.02949893,sh688199
2020/5/19,50.7,51.85,50.08,51.4,937295,47681962,27020980,0.034687676,sh688199
2020/5/20,51.28,52.88,51.16,51.78,1260097,65845550,27020980,0.046634023,sh688199
2020/5/21,51.9,52.25,50.35,50.48,920094,47018132,27020980,0.034051097,sh688199
2020/5/22,50.44,50.66,48.65,49.18,830362,41070230,27020980,0.03073027,sh688199
2020/5/25,49.33,49.88,48.48,49.06,485852,23863634,27020980,0.017980547,sh688199
2020/5/26,49.06,50.71,48.91,50.5,807745,40438297,27020980,0.029893253,sh688199
2020/5/27,50.58,51.29,50.12,50.56,782892,39688558,27020980,0.028973487,sh688199
2020/5/28,50.77,51.5,49.81,50.48,695331,35209373,27020980,0.025733005,sh688199
2020/5/29,50.33,51.43,50.04,50.99,753407,38320010,27020980,0.027882297,sh688199
2020/6/1,51.15,52.88,51.1,52.57,1335233,69733645,27020980,0.049414677,sh688199
2020/6/2,53.13,59.54,53.11,56.96,3914190,222568716,27020980,0.14485744,sh688199
2020/6/3,55.99,59.13,55.55,57.24,2943917,169922589,27020980,0.108949305,sh688199
2020/6/4,57.93,57.93,56.01,56.78,1724701,98277811,27020980,0.063828218,sh688199
2020/6/5,56.84,60.88,56.77,58.92,2751017,163010805,27020980,0.101810408,sh688199
2020/6/8,59.09,60.95,58.75,58.81,2013497,120448407,27020980,0.074516061,sh688199
2020/6/9,58.6,60.19,57.23,58.94,1635303,95738225,27020980,0.060519752,sh688199
2020/6/10,58.01,58.69,56.75,57.0,1302518,74486062,27020980,0.048203951,sh688199
2020/6/11,57.1,57.69,56.31,56.5,1124344,64052852,27020980,0.041610038,sh688199
2020/6/12,55.2,56.41,55.0,55.73,1011145,56349613,27020980,0.037420738,sh688199
2020/6/15,55.13,56.33,54.88,55.0,820580,45557475,27020980,0.030368255,sh688199
2020/6/16,55.5,57.25,55.35,56.9,1038359,58406129,27020980,0.038427881,sh688199
2020/6/17,56.8,58.19,56.3,57.78,1091993,62471509,27020980,0.040412783,sh688199
2020/6/18,57.5,58.47,57.06,57.49,1026593,59247029,27020980,0.037992441,sh688199
2020/6/19,57.54,57.54,56.43,56.62,803339,44867628,27020980,0.029730195,sh688199
2020/6/22,57.17,59.03,57.14,58.14,1524047,87279103,27020980,0.056402358,sh688199
2020/6/23,58.55,59.48,57.82,58.11,1353971,77724743,27020980,0.050108138,sh688199
2020/6/24,58.52,60.81,58.52,59.88,1966935,115652147,27020980,0.072792882,sh688199
